appid,name,developer,publisher,price,discount,genre,tags
10,Counter-Strike,Valve,Valve,999,0,Action,"{'Action': 5442, 'FPS': 4855, 'Multiplayer': 3412, 'Shooter': 3366, 'Classic': 2799, 'Team-Based': 1874, 'First-Person': 1714, 'Competitive': 1616, 'Tactical': 1354, ""1990's"": 1208, 'e-sports': 1199, 'PvP': 890, 'Old School': 782, 'Military': 637, 'Strategy': 620, 'Survival': 308, 'Score Attack': 294, '1980s': 274, 'Assassin': 231, 'Nostalgia': 148}"
20,Team Fortress Classic,Valve,Valve,499,0,Action,"{'Action': 758, 'FPS': 318, 'Multiplayer': 270, 'Classic': 245, 'Hero Shooter': 218, 'Shooter': 216, 'Team-Based': 197, 'Class-Based': 188, 'First-Person': 180, ""1990's"": 148, 'Old School': 116, 'Co-op': 94, 'Competitive': 78, 'Fast-Paced': 69, 'Retro': 63, 'Online Co-Op': 54, 'Violent': 51, 'Funny': 38, 'Mod': 38, 'Remake': 36}"
60,Ricochet,Valve,Valve,499,0,Action,"{'Action': 588, 'FPS': 132, 'Multiplayer': 110, 'Classic': 94, 'First-Person': 82, 'Sci-fi': 56, 'Shooter': 55, 'Space': 45, 'Cyberpunk': 38, 'Memes': 33, 'Psychological Horror': 32, 'Platformer': 29, 'Conspiracy': 28, '3D': 27, 'Old School': 26, 'Retro': 26, 'Cult Classic': 21, 'Competitive': 20, 'Sports': 12, 'Great Soundtrack': 10}"
70,Half-Life,Valve,Valve,999,0,Action,"{'FPS': 2303, 'Sci-fi': 1817, ""1990's"": 1813, 'Classic': 1811, 'Multiplayer': 1810, 'Singleplayer': 1809, 'Action': 1801, 'Shooter': 1798, 'First-Person': 1788, 'Aliens': 1786, 'Silent Protagonist': 1781, 'Story Rich': 1778, 'Atmospheric': 1768, 'Moddable': 1759, 'Adventure': 1754, 'Retro': 1747, 'Action-Adventure': 1746, 'Gore': 1744, 'Difficult': 1730, 'PvP': 1715}"
220,Half-Life 2,Valve,Valve,999,0,Action,"{'FPS': 3998, 'Action': 2854, 'Sci-fi': 2495, 'Classic': 2275, 'Singleplayer': 2220, 'Story Rich': 1924, 'Shooter': 1731, 'First-Person': 1612, 'Adventure': 1382, 'Dystopian ': 1222, 'Atmospheric': 1131, 'Zombies': 1041, 'Silent Protagonist': 1037, 'Physics': 991, 'Aliens': 962, 'Great Soundtrack': 954, 'Horror': 806, 'Puzzle': 740, 'Multiplayer': 689, 'Moddable': 533}"
240,Counter-Strike: Source,Valve,Valve,999,0,Action,"{'Shooter': 5283, 'Action': 3156, 'FPS': 3149, 'Multiplayer': 2513, 'Team-Based': 1687, 'First-Person': 1484, 'Tactical': 1339, 'Competitive': 1335, 'PvP': 1018, 'e-sports': 954, 'Military': 758, 'War': 645, 'Strategy': 518, 'Moddable': 498, 'Singleplayer': 394, 'Difficult': 389, 'Atmospheric': 302, 'Survival': 283, 'Simulation': 245, 'Sandbox': 204}"
340,Half-Life 2: Lost Coast,Valve,Valve,0,0,Action,"{'FPS': 1028, 'Action': 362, 'Singleplayer': 311, 'First-Person': 252, 'Sci-fi': 248, 'Shooter': 224, 'Short': 220, 'Aliens': 121, 'Dystopian ': 114, 'Classic': 112, 'Adventure': 107, 'Atmospheric': 94, 'Benchmark': 94, 'Futuristic': 91, 'Silent Protagonist': 86, 'Free to Play': 60, 'Multiplayer': 41, 'Post-apocalyptic': 41, 'Story Rich': 41, 'Great Soundtrack': 36}"
360,Half-Life Deathmatch: Source,Valve,Valve,999,0,Action,"{'Action': 244, 'FPS': 163, 'Multiplayer': 127, 'Shooter': 98, 'Sci-fi': 87, 'First-Person': 76, 'Classic': 72, 'Remake': 26, 'Adventure': 16, 'Fast-Paced': 13, 'Competitive': 13, 'Horror': 10, 'Atmospheric': 9, 'Singleplayer': 7}"
380,Half-Life 2: Episode One,Valve,Valve,799,0,Action,"{'FPS': 735, 'Action': 529, 'Sci-fi': 464, 'Singleplayer': 402, 'First-Person': 313, 'Story Rich': 312, 'Shooter': 302, 'Classic': 279, 'Dystopian ': 234, 'Adventure': 227, 'Aliens': 226, 'Zombies': 224, 'Episodic': 170, 'Atmospheric': 165, 'Silent Protagonist': 161, 'Great Soundtrack': 156, 'Short': 148, 'Puzzle': 116, 'Cinematic': 96, 'Moddable': 73}"
400,Portal,Valve,Valve,999,0,Action,"{'Puzzle': 4090, 'Puzzle-Platformer': 3084, 'First-Person': 2437, '3D Platformer': 2406, 'Singleplayer': 2073, 'Sci-fi': 1927, 'Comedy': 1564, 'Female Protagonist': 1481, 'Funny': 1044, 'Physics': 1036, 'Action': 1028, 'Story Rich': 840, 'Classic': 834, 'Platformer': 797, 'Science': 761, 'Atmospheric': 661, 'FPS': 639, 'Dark Humor': 630, 'Short': 619, 'Adventure': 613}"
